category,channel,crawled,etc,grouped_by_shop,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
air conditioner,amazon,,,,,612,,,35999,"SereneLife SLPAC10 10,000 BTU Portable 3-in-1 Air Conditioner for Rooms Up to 450 Sq. Ft",,,/Portable-Electric-Conditioner-Unit-Plug/dp/B07DQSNMWX/ref=sr_1_14?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-14#customerReviews
air conditioner,amazon,,,,,178,,,30231,"JHS 12,000 BTU Portable Air Conditioner, 3-in-1 Floor AC Unit with 3 Fan Speeds, Remote Control and Digital LED Display, Cover up to 400 Sq. Ft.",,,/JHS-Portable-Conditioner-A018-12KR-Dehumidifier/dp/B07238W469/ref=sr_1_15?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-15#customerReviews
air conditioner,amazon,,,,,57,,,5699,"Portable Air Conditioner, 5000mAh Rechargeable Battery Operated 120°Auto Oscillation Personal Mini Air Cooler with 3 Wind Speeds, 3 Cooling Levels, Perfect for Office Desk, Dorm, Bedroom and Outdoors",,,/Portable-Conditioner-Rechargeable-Operated-Oscillation/dp/B089K971HK/ref=sr_1_16?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-16#customerReviews
air conditioner,amazon,,,,,35,,,3799,"Personal Air Conditioner, Ultra-Quiet Air Conditioners for Portable Humidifier & Purifier Space Air Cooler for Home Room Office, LED Night Light + 3 Wind Speeds",,,/Personal-Conditioner-Ultra-Quiet-Conditioners-Humidifier/dp/B089DZ1T1L/ref=sr_1_18?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-18#customerReviews
air conditioner,amazon,,,,,"5,671",,,2599,"Space Heater, Personal Mini Electric Ceramic Heater, Adjustable Portable Thermostat and Multifunctional 750W/1500W Heater Fan with Carrying Handle",,,/Personal-Space-Air-Conditioner-Cooler/dp/B08FT4TQQ8/ref=sr_1_19?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-19#customerReviews
air conditioner,amazon,,,,,309,,,23900,"GE AHQ06LZ Window Air Conditioner with 6000 BTU Cooling Capacity, 3 Fan Speeds, 115 Volts, in White",,,/GE-AHQ06LZ-Conditioner-Cooling-Capacity/dp/B083V77DM3/ref=sr_1_20?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-20#customerReviews
air conditioner,amazon,,,,,522,,,31999,"Rollibot ROLLICOOL Portable Air Conditioner w/App & Alexa Voice Control | Wi-Fi Enabled Portable AC & Dehumidifier | Quiet Operation, Easy Installation (10,000 BTU, White)",,,/Rollibot-ROLLICOOL-Conditioner-Dehumidifier-Installation/dp/B0883F75WJ/ref=sr_1_21?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-21#customerReviews
air conditioner,amazon,,,,,2,,,29936,"Haier 8,500 BTU Portable Air Conditioner humidty-Meters",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A063228620OXUYER2EPKW&url=%2FHaier-QPCA09YZMW-Portable-Conditioner-humidty-meters%2Fdp%2FB083V7X97H%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dair%2Bconditioner%26qid%3D1592307818%26sr%3D8-22-spons%26psc%3D1&qualifier=1598408278&id=7858116766542760&widgetName=sp_btf#customerReviews
category,channel,crawled,etc,grouped_by_shop,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
air conditioner,amazon,,,,,522,,,31999,"Rollibot ROLLICOOL Portable Air Conditioner w/App & Alexa Voice Control | Wi-Fi Enabled Portable AC & Dehumidifier | Quiet Operation, Easy Installation (10,000 BTU, White)",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A028052420CC6T0JA9K6X&url=%2FRollibot-ROLLICOOL-Conditioner-Dehumidifier-Installation%2Fdp%2FB0883F75WJ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dair%2Bconditioner%26qid%3D1592307818%26sr%3D8-1-spons%26psc%3D1&qualifier=1598408288&id=3868878537690420&widgetName=sp_atf#customerReviews
air conditioner,amazon,,,,,47,,,32979,"Whynter ARC-102CS Compact Size 10,000 BTU Portable Air Conditioner, Dehumidifier, Fan with 3M and SilverShield Filter for Rooms up to 215 sq ft,Multi",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07726863ESVZ3YV3HX3L&url=%2FWhynter-ARC-102CS-Conditioner-Dehumidifier-SilverShield%2Fdp%2FB076PSPGDH%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dair%2Bconditioner%26qid%3D1592307818%26sr%3D8-2-spons%26psc%3D1&qualifier=1598408288&id=3868878537690420&widgetName=sp_atf#customerReviews
air conditioner,amazon,,,,,"8,031",,,29999,"BLACK+DECKER BPACT08WT Portable Air Conditioner, 8,000 BTU, White",,,/BLACK-DECKER-BPACT08WT-Portable-Conditioner/dp/B01DLPUWL2/ref=sr_1_3?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-3#customerReviews
air conditioner,amazon,,,,,"5,671",,,2599,"Space Heater, Personal Mini Electric Ceramic Heater, Adjustable Portable Thermostat and Multifunctional 750W/1500W Heater Fan with Carrying Handle",,,/Personal-Space-Air-Conditioner-Cooler/dp/B08FT4TQQ8/ref=sr_1_4?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-4#customerReviews
air conditioner,amazon,,,,,"2,056",,,21900,"MIDEA EasyCool Window Air Conditioner - Cooling, Dehumidifier, Fan with remote control - 6,000 BTU, Rooms up to 250 Sq. Ft. (MAW06R1BWT Model)",,,/MIDEA-MAW06R1BWT-Conditioner-Dehumidifier-Functions/dp/B07PDXKDZH/ref=sr_1_5?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-5#customerReviews
