category,channel,etc,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
hair dryer,amazonlist,https://m.media-amazon.com/images/I/315uyS46AwL._AC_UL320_.jpg,,33,,,19900,Elchim Light Ionic Hair Dryer,,,/Elchim-Light-Ionic-Hair-Dryer/dp/B00XWEFVA0/ref=sr_1_233?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-233#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71yv3y4-bFL._AC_UL320_.jpg,,36,,,2999,"Hair Dryer Blow Dryer 1875W: LANPRO Negative Ionic Hair Dryer Professional Salon Blow Dryer with 3 Heat & 2 Speed Settings for Fast Drying, Diffuser & Concentrator Low Noise Lightweight DC Motor",,,/Hair-Dryer-Blow-1875W-Professional/dp/B07TS35BL1/ref=sr_1_177?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-177#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61Ei9AVfQjL._AC_UL320_.jpg,,15,,,1496,"Bonnet Hair Dryer Attachment With Extra Long Hose For Hand Held Hair Dryer Adjustable Soft Bonnet with Headband Suitable for Hair Styling,Curling and Deep Conditioning Fits All Small or Big Heads",,,/Attachment-Adjustable-Headband-Suitable-Conditioning/dp/B083WS7S1N/ref=sr_1_84?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-84#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/312VDEGHJWL._AC_UL320_.jpg,,"2,293",,,3887,Conair 1875 Watt Pro Style Bonnet Hair Dryer,,,/Conair-Style-Bonnet-Dryer-White/dp/B0001B86HM/ref=sr_1_34?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-34#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/51OfNueI-2L._AC_UL320_.jpg,,33,,,3112,Sunbeam HD3005-001 White Folding Hand Held 2-Speed Hair Dryer,,,/Sunbeam-HD3005-001-White-Folding-2-Speed/dp/B00IXO56IG/ref=sr_1_275?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-275#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61LYhUmMfBL._AC_UL320_.jpg,,734,,,3499,"John Frieda Frizz Ease Full Volume Hair Dryer, Full Size",,,/John-Frieda-Frizz-Ease-Dryer/dp/B004YZMKKU/ref=sr_1_130?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-130#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/41RIf76DsBL._AC_UL320_.jpg,,85,,,5998,ROSILY Professional 2200W Ionic Ceramic Hair Dryer | Fast Drying Salon Quality Blow Dryer with Nozzle Attachments for Smooth Shine and Silky Hair | Extra Long Cord and Faster Drying Time,,,/Rosily-Professional-Ceramic-Quality-Attachments/dp/B07T8XRJC6/ref=sr_1_234?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-234#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/815AhDwI+qL._AC_UL320_.jpg,,450,,,3999,"NITION Negative Ions Ceramic Hair Dryer with Diffuser Attachment Ionic Blow Dryer Quick Drying,1875 Watt 2 Speed / 3 Heat Settings,Cool Shot Button,Lightweight,Gray",,,/NITION-Negative-Diffuser-Attachment-Lightweight/dp/B07PTZX3CY/ref=sr_1_179?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-179#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61iMPXZuOFL._AC_UL320_.jpg,,133,,,3999,"Prizm Hair Dryers with Infrared and Negative Ionic, Powerful 1875 Watt Professional Ceramic Tourmaline Air Blow Dryer with Diffuser and Concentrator Attachments, Fast Drying and Keep Hairstyle",,,/Prizm-Professional-Tourmaline-Concentrator-Attachments/dp/B07ZG3PTKP/ref=sr_1_85?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-85#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61FAHRDYYmL._AC_UL320_.jpg,,"2,291",,,1799,"Conair 1875 Watt Cord Keeper Hair Dryer with Folding Handle and Retractable Cord, Travel Hair Dryer, Teal",,,/Conair-Keeper-Folding-Handle-Retractable/dp/B009ZPMPGI/ref=sr_1_35?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-35#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71udf8DO4fL._AC_UL320_.jpg,,58,,,28500,T3 - Cura LUXE Hair Dryer | Digital Ionic Professional Blow Dryer | Frizz Smoothing | Fast Drying Wide Air Flow | Volume Booster | Auto Pause Sensor | Multiple Speed and Heat Settings | Cool Shot,,,/T3-Micro-Digital-Professional-Rose-Gold/dp/B07MJDZRKT/ref=sr_1_276?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-276#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61Ys5MHOHEL._AC_UL320_.jpg,,207,,,2799,"1875W Professional Tourmaline Hair Dryer, Negative Ionic Blow Dryer with Concentrator, Lightweight Low Noise DC Motor Fast Dry Hair Blow Dryers, Red Color",,,/Professional-Tourmaline-Negative-Concentrator-Lightweight/dp/B07Y1TVH1L/ref=sr_1_131?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-131#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71sdivEMQAL._AC_UL320_.jpg,,32,,,2169,"Hair Dryer,1875W Hair Dryer Powerful Fast Blow Dryer Quick Drying with 2 Concentrator Cool Shot Button 2 Speed 3 Heat Settings Lightweight for Travel (Black)",,,/Powerful-Drying-Concentrator-Settings-Lightweight/dp/B07QX75D8Y/ref=sr_1_235?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-235#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/710-L9EAB7L._AC_UL320_.jpg,,178,,,19900,"BIO IONIC Powerlight Pro Dryer, Black",,,/Secador-profesional-Bio-Ionic-Powerlight/dp/B01HFH7XKK/ref=sr_1_180?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-180#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/51IINEeaHUL._AC_UL320_.jpg,,,,,3998,"SHRATE Ionic Hair Dryer, Professional Salon Negative Ions Hair Blow Dryer Powerful 1800W for Fast Drying with 3 Heating / 2 Speed/Cool Button, Constant Temperature Hair Care Without Damaging Hair",,,
